vehicle,brand,model,category,sales,year,month,source
Porsche Panamera S-E,Porsche,Panamera S-E,phev,56,2014,3,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,186,2014,3,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1300,2014,3,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1452,2014,3,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,73,2014,3,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,61,2014,4,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,97,2014,4,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1548,2014,4,hybridcars.com
Fiat 500e,Fiat,500e,bev,152,2014,4,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,525,2014,4,hybridcars.com
Ford Focus,Ford,Focus,bev,116,2014,4,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,743,2014,4,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,37,2014,4,hybridcars.com
Honda Fit,Honda,Fit,bev,50,2014,4,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,12,2014,4,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2088,2014,4,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,63,2014,4,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,203,2014,4,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1400,2014,4,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1741,2014,4,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,69,2014,4,hybridcars.com
BMW i3,BMW,i3,bev,336,2014,5,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,52,2014,5,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,182,2014,5,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1684,2014,5,hybridcars.com
Fiat 500e,Fiat,500e,bev,167,2014,5,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,782,2014,5,hybridcars.com
Ford Focus,Ford,Focus,bev,177,2014,5,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1342,2014,5,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,46,2014,5,hybridcars.com
Honda Fit,Honda,Fit,bev,33,2014,5,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,35,2014,5,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,3117,2014,5,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,53,2014,5,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,206,2014,5,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1400,2014,5,hybridcars.com
Toyota Prius,Toyota,Prius,phev,2692,2014,5,hybridcars.com
