year,month,cpi,date
1989,5,0.49183193490973814,1989-05-01
1989,6,0.49302377320111873,1989-06-01
1989,7,0.49421561149249943,1989-07-01
1989,8,0.49501017035341977,1989-08-01
1989,9,0.49659928807526066,1989-09-01
1989,10,0.4989829646580219,1989-10-01
1989,11,0.5001748029494025,1989-11-01
1989,12,0.5009693618103229,1989-12-01
1990,1,0.5061339944063057,1990-01-01
1990,2,0.5085176709890669,1990-02-01
1990,3,0.5112986270022883,1990-03-01
1990,4,0.5120931858632088,1990-04-01
1990,5,0.5132850241545893,1990-05-01
1990,6,0.5160659801678109,1990-06-01
1990,7,0.5180523773201119,1990-07-01
1990,8,0.5228197304856343,1990-08-01
1990,9,0.5271898042206966,1990-09-01
1990,10,0.5303680396643784,1990-10-01
1990,11,0.531559877955759,1990-11-01
1990,12,0.531559877955759,1990-12-01
1991,1,0.5347381133994407,1991-01-01
1991,2,0.5355326722603612,1991-02-01
1991,3,0.5363272311212814,1991-03-01
